,Station,Latitude,Longitude,sample_name,Weather,Date,Event No.,Sampler_used,Sampling_Start_Time,Sampling_End_Time,Sample_Depth,Volume_sampled,Volume_error,Filepath,Read_Start_Time,Read_End_Time,Slope,stderr_slope,cnt219,cnt219_abserr,cnt220,cnt220_abserr,cpm_219,err_219,cpm_220,err_220,cpm_Tot,err_Tot,y219cc,y219cc_err,y220cc,y220cc_err,corr219,corr219_err,corr220,corr220_err,final219,final220,Read_Runtime,final219_err,final220_err,cntTot_abserr,errslope_abs,Detector_Name,Cartridge_Type,Read_Number,Spike_Value,Mid_Sample_Datetime,Mid_Read_Datetime,blankcorr223,blankcorr223_err,blankcorr224,blankcorr224_err,dpm223,dpm223_err,dpm223_thstdonly,dpm223_thstdonly_err,dpm224,dpm224_err,vdpm223 (dpm/m^3),vdpm223_err (dpm/m^3),vdpm223_thstdonly (dpm/m^3),vdpm223_thstdonly_err (dpm/m^3),vdpm224 (dpm/m^3),vdpm224_err (dpm/m^3),t1_(mins),sampling_to_read_time_(days),vdpm226 (dpm/m^3),vdpm226_err (dpm/m^3)
11,2,42 21.30,14 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler002,15:15:00,16:45:00,3400a,763,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3400a/2-StnX009-3400A-180125-detector1.txt,2018-01-25 01:17:53.000,2018-01-25 10:58:29.000,0.003549875809992917,0.0006548647399936289,26,0.00878232778779329,96,0.01687557521724545,0.04478126076472615,0.19611613513818402,0.16534619359283498,0.10206207261596574,2.325180847399242,0.10206207261596574,0.00041611277892307296,9.368596833186445e-05,0.04570111146282347,0.010399546329538656,0.04436514798580307,0.00878282747370734,0.11964508213001152,0.01982260332986386,0.041314198391487776,0.11959473025319843,580.6,0.008797361241225217,0.0198226435868043,0.23731277649251417,0.18447539436455257,detector1,a,2,0,2018-01-17 15:15:00,2018-01-25 06:08:11.000000000,0.041052230531264916,0.008864595549669793,0.1093865199426833,0.022413110204068592,0.25459860887432345,0.21891394919807133,0.35328241625248774,0.6904586711382898,0.4236054924863815,0.7413582964263393,0.33368100769898223,0.286920454520015,0.4630175835550298,0.9049312612565331,0.5551841316990583,0.9716428485541486,10973.183333333332,7.620266203703703,25.013569878330568,4.617298625033149
12,2,42 21.30,14 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler002,15:15:00,16:45:00,3400a,763,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3400a/3-StnX009-3400A-180219-detector1.txt,2018-02-19 11:01:46.000,2018-02-19 20:32:20.800,0.00040201951901525155,0.00042786768322882775,5,0.003918938584422499,48,0.012142387097822407,0.008763013074415507,0.447213595499958,0.08412492551438887,0.14433756729740643,1.314451961162326,0.14433756729740643,0.00013879210303576912,4.3212277895472366e-05,0.015106724929184096,0.004732222784508997,0.008624220971379737,0.0039191768178325846,0.06901820058520478,0.013031941410073565,0.0068642568564570156,0.06901629679190802,570.58,0.0039332403766240516,0.013031941869906442,0.1897247984034751,1.064295794087042,detector1,a,3,0,2018-01-17 15:15:00,2018-02-19 15:47:03.400000000,0.006602288996234158,0.004081405310786902,0.05880808648139288,0.016710530187605377,0.04094621831930156,0.6192977254372883,0.0568171955385087,0.9171608580425,0.22773764490528922,0.8158674806731553,0.05366476843945158,0.8116615774125511,0.07446552495217391,1.202045784556946,0.29847659882737776,1.0692907543956125,47552.05,33.02225694444444,2.8327591920352004,3.0149508421519373
13,2,42 21.30,14 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler002,15:15:00,16:45:00,3400a,763,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3400a/4-StnX009-3400A-180513-detector1.txt,2018-05-13 20:41:24.000,2018-05-14 06:42:01.800,0.002599607900693923,0.0005059010181295082,7,0.004404960310115363,82,0.015076478261387905,0.011654429515675208,0.37796447300922725,0.13652331718362387,0.11043152607484655,1.5766778216206316,0.11043152607484655,0.00018980217447177563,4.6459628429704105e-05,0.020701850591715282,0.005103762104381329,0.011464627341203433,0.004405205310852772,0.11582146659190859,0.01591692760504429,0.008511179943109765,0.11581810240440522,600.63,0.004423864119495683,0.015916928445745576,0.17411493796993105,0.19460666279498004,detector1,a,4,0,2018-01-17 15:15:00,2018-05-14 01:41:42.900000000,0.008249212082886906,0.004556101754611625,0.10560989209389009,0.019046231159923335,0.05116014144500015,0.5535389062477923,0.07099009089413556,0.8701219685028889,0.4089802872904936,0.7370596035543537,0.06705129940366991,0.7254770744083163,0.09304074822298239,1.1403959277347406,0.5360161039193888,0.9660084877644278,167666.7,116.43520833333334,18.31767570494175,3.5667622004087005
14,2,42 21.30,14 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler002,15:15:00,16:45:00,3400a,763,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3400a/1-StnX009-3400A-180118-detector1.txt,2018-01-18 06:03:24.000,2018-01-18 15:23:58.800,0.004031883089783945,0.00047831381227263507,26,0.009095971161284355,94,0.017295229431718323,0.04638053444646616,0.19611613513818402,0.16768347069106995,0.10314212462587935,2.181668985693389,0.10314212462587935,0.0003601125464435771,8.26849508621007e-05,0.03949173493864263,0.009157803574373066,0.046020421900022576,0.009096346968317322,0.12819173575242732,0.01957013866590055,0.04275153263833568,0.1281375579366668,560.58,0.00911002566562846,0.0195701857344067,0.22502197441480332,0.11863285755596309,detector1,a,1,0,2018-01-17 15:15:00,2018-01-18 10:43:41.400000000,0.04248956477811282,0.00917496905057576,0.11792934762615168,0.022190143756393863,0.2635126994121373,0.21891275777470046,0.36565165683010153,0.6903250803323417,0.4566880764279687,0.7326503880880402,0.3453639572898261,0.28691948674678575,0.4792289080342091,0.9047565384981815,0.598542695187377,0.960231324175852,1168.6833333333334,0.8115856481481482,28.409948630786406,3.375491405471896
15,2,42 21.30,14 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler002,15:15:00,16:45:00,3400b,763,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3400b/2-StnX009-3400b-180127-detector1.txt,2018-01-28 00:53:58.000,2018-01-28 10:54:35.200,0.0023178067535723846,0.00047028052259468747,12,0.00576754289756877,73,0.014225306758545386,0.01997935466684426,0.28867513459481287,0.12154107422330258,0.11704114719613055,1.611667943125437,0.11704114719613055,0.0002010315211431064,5.1761909073126416e-05,0.021935826138829,0.0056898186096291615,0.019778323145701156,0.005767775166433489,0.09960524808447359,0.015321011330365869,0.01723838931954708,0.09959523699161439,600.62,0.005780991762335792,0.015321015788561333,0.18863146496262925,0.20289893532748338,detector1,b,2,0,2018-01-17 15:15:00,2018-01-28 05:54:16.600000000,0.016976421459324223,0.005882801646053358,0.08938702668109925,0.018551114118661328,0.10528473681634525,0.3484257298071467,0.1460936742012846,0.7469653425660234,0.34615632236020416,0.7551653409959524,0.13798785952338827,0.4566532279189716,0.1914727053752092,0.9789855256593966,0.45367801095701726,0.9897362358059535,15279.266666666666,10.610601851851852,16.33201393461284,3.3154760957032887
16,2,42 21.30,14 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler002,15:15:00,16:45:00,3400b,763,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3400b/1-StnX009-3400B-180118-detector1.txt,2018-01-18 17:58:58.000,2018-01-19 03:59:35.800,0.0014173353328857834,0.00045304269591750024,24,0.008156401587610268,69,0.013829851760514917,0.03995804405374357,0.20412414523193148,0.11487937665451277,0.1203858530857692,1.5583637180959993,0.1203858530857692,0.00018322332003724298,4.916403581439526e-05,0.019979275053999785,0.005398813333308131,0.03977482073370633,0.00815654975837142,0.09490010160051299,0.014846278494145366,0.037354868142893245,0.09485962722735937,600.63,0.008165330786570552,0.014846315746085432,0.18760494562089802,0.31964397232310365,detector1,b,1,0,2018-01-17 15:15:00,2018-01-18 22:59:16.900000000,0.037092900282670385,0.008237725189925353,0.08465141691684423,0.018161040759899036,0.23004354912919014,0.22498547684060197,0.31920968161996255,0.6928268062084328,0.32781740539436877,0.7611132348000939,0.30149875377351265,0.29487618242878155,0.4183613127391383,0.908034028870852,0.4296427331512041,0.997531148650665,1904.2666666666667,1.3224074074074075,9.987001880563307,3.192955738599011
17,2,42 21.30,14 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler002,15:15:00,16:45:00,3400b,763,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3400b/4-StnX009-3400B-180514-detector1.txt,2018-05-14 08:42:03.000,2018-05-14 18:42:40.200,0.0014723806236440092,0.0003633329385446344,11,0.005522001915279877,70,0.013929939504746355,0.01831440844460724,0.30151134457776363,0.11654623555659152,0.11952286093343936,1.133828377343412,0.11952286093343936,9.281672054460704e-05,2.5337397398759087e-05,0.010080061888354377,0.002765441127556656,0.018221591724062635,0.005522060044590386,0.10646617366823714,0.014201791409391807,0.015506704295522589,0.10645767626964825,600.62,0.005533922354920125,0.01420179515088391,0.13551841146760382,0.24676563431364518,detector1,b,4,0,2018-01-17 15:15:00,2018-05-14 13:42:21.600000000,0.01524473643529973,0.005640193798168509,0.09624946595913311,0.017638063832459607,0.09454513527899729,0.3717608558728264,0.13119134461873733,0.759125397439784,0.3727315070498041,0.7437120870911967,0.12391236602751939,0.48723639861205537,0.17194147394329923,0.9949225219498198,0.4885078729355231,0.9747262097512023,168387.35,116.93565972222223,10.374868752688236,2.561063641647788
18,2,43 21.30,15 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler003,15:12:00,16:42:00,3600a,859,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3600a/1-StnX009-3600A-180118-detector1.txt,2018-01-18 06:05:19.000,2018-01-18 15:15:53.200,0.009782482686203785,0.001162422280704583,442,0.03818550963842679,559,0.042943096854303316,0.8028043663839293,0.04756514941544941,1.0153114045443812,0.042295493443781355,7.590315491218191,0.042295493443781355,0.0031002652013583684,0.00035043415619216397,0.3535929896698324,0.04118100663532965,0.7997041011825708,0.03818711759800956,0.6617184148745487,0.05949777201658176,0.7828302816032698,0.6455533687081159,550.57,0.03821724513369768,0.05958368056196662,0.3210361390950511,0.11882691929973407,detector1,a,1,0,2018-01-17 15:12:00,2018-01-18 10:40:36.099999999,0.782568313743047,0.038232778019125856,0.6353451583976008,0.06049483696614719,4.853349049483811,0.0605551031724359,6.734533573059421,0.6537120754873484,2.460410102294838,0.6689472026025675,5.649998893461945,0.0777887381782431,7.8399692352263335,0.762382223833325,2.864272528864771,0.7789295537796534,1168.6,0.8115277777777777,61.22699992616937,7.284139294694657
19,2,43 21.30,15 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler003,15:12:00,16:42:00,3600a,859,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3600a/3-StnX009-3600A-180219-detector1.txt,2018-02-19 11:04:01.000,2018-02-19 20:34:38.200,0.012908325541907675,0.0010334702185872875,110,0.018380162773301876,430,0.03634019374246911,0.19277277347446636,0.09534625892455924,0.7535662963092776,0.04822428221704121,5.904104307595247,0.04822428221704121,0.002286942007559945,0.00026540962962716993,0.25861593232476066,0.030789219139504907,0.19048583146690642,0.018382078931518355,0.49495036398451697,0.04762967243704964,0.17786459718530123,0.49402429422427463,570.62,0.018422159854199902,0.047631036521487806,0.2847211923683219,0.08006229895830119,detector1,a,3,0,2018-01-17 15:12:00,2018-02-19 15:49:19.600000000,0.17760262932507836,0.0184543616292818,0.48381608391375946,0.04876603275192227,1.1014598177351174,0.10990852498105609,1.5283916417884673,0.660847084456603,1.8736051810269625,0.6730061718775415,1.2822582278639318,0.12816689291914954,1.7792685003358175,0.7693911096081932,2.1811468929301077,0.783579193379514,47557.316666666666,33.02591435185185,80.79115213931975,6.485397465443523
20,2,43 21.30,15 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler003,15:12:00,16:42:00,3600a,859,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3600a/2-StnX009-3600A-180125-detector1.txt,2018-01-25 01:21:25.000,2018-01-25 11:02:01.000,0.010919498744868777,0.0009023193077808678,349,0.03217626884648537,591,0.041871325460362444,0.6011023079572856,0.05352877275721893,1.0179125043058903,0.04113450348948636,7.3544609025146395,0.04113450348948636,0.0030608994654588934,0.00032787048287039836,0.3489683077021263,0.03850689697857627,0.5980414084918267,0.032177939274211496,0.668944196603764,0.056885754022657394,0.5809833314784307,0.6598750459731011,580.6,0.0322106190221341,0.056921042497699595,0.30252209765777943,0.08263376633518824,detector1,a,2,0,2018-01-17 15:12:00,2018-01-25 06:11:43.000000000,0.5807213636182079,0.032229046948981925,0.649666835662586,0.05787413402613618,3.6015302800220406,0.066033461083896,4.997503030979852,0.6543176136754232,2.51587160846803,0.6678730878192826,4.192701140887125,0.08065333361226157,5.817814937112749,0.7624725293292816,2.928837728135076,0.777687563665531,10979.716666666667,7.624803240740741,68.34340221105298,5.661466185683087
